img_name,storm,datetime_utc,lat,lon,pressure_mb,wind_kt,wind_kmph,category,cat_idx,has_raw
AMPHAN_20200516T0000.jpg,AMPHAN,2020-05-16T00:00:00,10.40,87.00,1000.0,25.0,46.3,Depression,1,True
AMPHAN_20200516T0030.jpg,AMPHAN,2020-05-16T00:30:00,10.45,86.92,1000.0,25.0,46.3,Depression,1,True
AMPHAN_20200516T0100.jpg,AMPHAN,2020-05-16T01:00:00,10.50,86.83,1000.0,25.0,46.3,Depression,1,True
AMPHAN_20200516T0130.jpg,AMPHAN,2020-05-16T01:30:00,10.55,86.75,1000.0,25.0,46.3,Depression,1,True
AMPHAN_20200516T0200.jpg,AMPHAN,2020-05-16T02:00:00,10.60,86.67,1000.0,25.0,46.3,Depression,1,True
AMPHAN_20200516T0230.jpg,AMPHAN,2020-05-16T02:30:00,10.65,86.58,1000.0,25.0,46.3,Depression,1,True
AMPHAN_20200516T0300.jpg,AMPHAN,2020-05-16T03:00:00,10.70,86.50,1000.0,25.0,46.3,Depression,1,True
AMPHAN_20200516T0330.jpg,AMPHAN,2020-05-16T03:30:00,10.73,86.47,1000.0,25.0,46.3,Depression,1,True
AMPHAN_20200516T0400.jpg,AMPHAN,2020-05-16T04:00:00,10.77,86.43,1000.0,25.0,46.3,Depression,1,True
AMPHAN_20200516T0430.jpg,AMPHAN,2020-05-16T04:30:00,10.80,86.40,1000.0,25.0,46.3,Depression,1,True
AMPHAN_20200516T0500.jpg,AMPHAN,2020-05-16T05:00:00,10.83,86.37,1000.0,25.0,46.3,Depression,1,True
AMPHAN_20200516T0530.jpg,AMPHAN,2020-05-16T05:30:00,10.87,86.33,1000.0,25.0,46.3,Depression,1,True
AMPHAN_20200516T0600.jpg,AMPHAN,2020-05-16T06:00:00,10.90,86.30,1000.0,25.0,46.3,Depression,1,True
AMPHAN_20200516T0630.jpg,AMPHAN,2020-05-16T06:30:00,10.90,86.30,999.7,25.8,47.8,Depression,1,True
AMPHAN_20200516T0700.jpg,AMPHAN,2020-05-16T07:00:00,10.90,86.30,999.3,26.7,49.4,Depression,1,True
AMPHAN_20200516T0730.jpg,AMPHAN,2020-05-16T07:30:00,10.90,86.30,999.0,27.5,50.9,Deep Depression,2,True
AMPHAN_20200516T0800.jpg,AMPHAN,2020-05-16T08:00:00,10.90,86.30,998.7,28.3,52.5,Deep Depression,2,True
AMPHAN_20200516T0830.jpg,AMPHAN,2020-05-16T08:30:00,10.90,86.30,998.3,29.2,54.0,Deep Depression,2,True
AMPHAN_20200516T0900.jpg,AMPHAN,2020-05-16T09:00:00,10.90,86.30,998.0,30.0,55.6,Deep Depression,2,True
AMPHAN_20200516T0930.jpg,AMPHAN,2020-05-16T09:30:00,10.90,86.30,997.7,30.8,57.1,Deep Depression,2,True
AMPHAN_20200516T1000.jpg,AMPHAN,2020-05-16T10:00:00,10.90,86.30,997.3,31.7,58.6,Deep Depression,2,True
AMPHAN_20200516T1030.jpg,AMPHAN,2020-05-16T10:30:00,10.90,86.30,997.0,32.5,60.2,Deep Depression,2,True
AMPHAN_20200516T1100.jpg,AMPHAN,2020-05-16T11:00:00,10.90,86.30,996.7,33.3,61.7,Deep Depression,2,True
AMPHAN_20200516T1130.jpg,AMPHAN,2020-05-16T11:30:00,10.90,86.30,996.3,34.2,63.3,Cyclonic Storm,3,True
AMPHAN_20200516T1200.jpg,AMPHAN,2020-05-16T12:00:00,10.90,86.30,996.0,35.0,64.8,Cyclonic Storm,3,True
AMPHAN_20200516T1230.jpg,AMPHAN,2020-05-16T12:30:00,10.92,86.28,995.8,35.8,66.4,Cyclonic Storm,3,True
AMPHAN_20200516T1300.jpg,AMPHAN,2020-05-16T13:00:00,10.93,86.27,995.7,36.7,67.9,Cyclonic Storm,3,True
AMPHAN_20200516T1330.jpg,AMPHAN,2020-05-16T13:30:00,10.95,86.25,995.5,37.5,69.5,Cyclonic Storm,3,True
AMPHAN_20200516T1400.jpg,AMPHAN,2020-05-16T14:00:00,10.97,86.23,995.3,38.3,71.0,Cyclonic Storm,3,True
AMPHAN_20200516T1430.jpg,AMPHAN,2020-05-16T14:30:00,10.98,86.22,995.2,39.2,72.5,Cyclonic Storm,3,True
AMPHAN_20200516T1500.jpg,AMPHAN,2020-05-16T15:00:00,11.00,86.20,995.0,40.0,74.1,Cyclonic Storm,3,True
AMPHAN_20200516T1530.jpg,AMPHAN,2020-05-16T15:30:00,11.02,86.18,995.0,40.0,74.1,Cyclonic Storm,3,True
AMPHAN_20200516T1600.jpg,AMPHAN,2020-05-16T16:00:00,11.03,86.17,995.0,40.0,74.1,Cyclonic Storm,3,True
AMPHAN_20200516T1630.jpg,AMPHAN,2020-05-16T16:30:00,11.05,86.15,995.0,40.0,74.1,Cyclonic Storm,3,True
AMPHAN_20200516T1700.jpg,AMPHAN,2020-05-16T17:00:00,11.07,86.13,995.0,40.0,74.1,Cyclonic Storm,3,True
AMPHAN_20200516T1900.jpg,AMPHAN,2020-05-16T19:00:00,11.17,86.10,994.7,41.7,77.2,Cyclonic Storm,3,True
AMPHAN_20200516T1930.jpg,AMPHAN,2020-05-16T19:30:00,11.20,86.10,994.5,42.5,78.7,Cyclonic Storm,3,True
AMPHAN_20200516T2000.jpg,AMPHAN,2020-05-16T20:00:00,11.23,86.10,994.3,43.3,80.3,Cyclonic Storm,3,True
AMPHAN_20200516T2030.jpg,AMPHAN,2020-05-16T20:30:00,11.27,86.10,994.2,44.2,81.8,Cyclonic Storm,3,True
AMPHAN_20200516T2100.jpg,AMPHAN,2020-05-16T21:00:00,11.30,86.10,994.0,45.0,83.3,Cyclonic Storm,3,True
AMPHAN_20200516T2130.jpg,AMPHAN,2020-05-16T21:30:00,11.32,86.08,993.7,45.0,83.3,Cyclonic Storm,3,True
AMPHAN_20200516T2200.jpg,AMPHAN,2020-05-16T22:00:00,11.33,86.07,993.3,45.0,83.3,Cyclonic Storm,3,True
AMPHAN_20200516T2230.jpg,AMPHAN,2020-05-16T22:30:00,11.35,86.05,993.0,45.0,83.3,Cyclonic Storm,3,True
AMPHAN_20200516T2300.jpg,AMPHAN,2020-05-16T23:00:00,11.37,86.03,992.7,45.0,83.3,Cyclonic Storm,3,True
AMPHAN_20200516T2330.jpg,AMPHAN,2020-05-16T23:30:00,11.38,86.02,992.3,45.0,83.3,Cyclonic Storm,3,True
AMPHAN_20200517T0000.jpg,AMPHAN,2020-05-17T00:00:00,11.40,86.00,992.0,45.0,83.3,Cyclonic Storm,3,True
AMPHAN_20200517T0030.jpg,AMPHAN,2020-05-17T00:30:00,11.40,86.00,991.7,45.8,84.9,Cyclonic Storm,3,True
AMPHAN_20200517T0100.jpg,AMPHAN,2020-05-17T01:00:00,11.40,86.00,991.3,46.7,86.4,Cyclonic Storm,3,True
AMPHAN_20200517T0130.jpg,AMPHAN,2020-05-17T01:30:00,11.40,86.00,991.0,47.5,88.0,Cyclonic Storm,3,True
AMPHAN_20200517T0200.jpg,AMPHAN,2020-05-17T02:00:00,11.40,86.00,990.7,48.3,89.5,Severe Cyclonic Storm,4,True
AMPHAN_20200517T0230.jpg,AMPHAN,2020-05-17T02:30:00,11.40,86.00,990.3,49.2,91.1,Severe Cyclonic Storm,4,True
AMPHAN_20200517T0300.jpg,AMPHAN,2020-05-17T03:00:00,11.40,86.00,990.0,50.0,92.6,Severe Cyclonic Storm,4,True
AMPHAN_20200517T0330.jpg,AMPHAN,2020-05-17T03:30:00,11.42,86.00,989.7,50.8,94.1,Severe Cyclonic Storm,4,True
AMPHAN_20200517T0400.jpg,AMPHAN,2020-05-17T04:00:00,11.43,86.00,989.3,51.7,95.7,Severe Cyclonic Storm,4,True
